p,partial_sum_inv_p
88661,1.4210998170814617
88811,1.4211110769479196
88919,1.4211223231382726
89051,1.4211335526584352
89123,1.4211447731065798
89153,1.4211559897790418
89399,1.4211671755864892
89759,1.4211783165305727
89909,1.4211894388876225
90011,1.421200548640875
90089,1.4212116487751867
90173,1.4212227385692493
90281,1.4212338150969794
90599,1.4212448527464017
90641,1.4212558852813473
90749,1.4212669046865198
90803,1.4212779175385182
90833,1.421288926753231
90971,1.4212999192673288
91079,1.4213108987466818
91121,1.4213218731653119
91139,1.4213328454164886
91193,1.421343811170439
91373,1.4213547553224315
91433,1.421365692292672
91463,1.42137662567557
91499,1.421387554756762
91529,1.4213984802557842
91583,1.4214093993128145
91631,1.4214203126500038
91691,1.4214312188458136
91841,1.4214421072289976
92003,1.421452976439784
92243,1.4214638173708032
92363,1.4214746442170512
92681,1.4214854339150476
92849,1.4214962040902783
92861,1.4215069728737288
92951,1.4215177312302822
92993,1.4215284847278573
93053,1.4215392312916435
93059,1.4215499771625426
93113,1.4215607168014759
93239,1.421571441927228
93323,1.4215821573992982
93371,1.4215928673627771
93479,1.4216035649526102
93563,1.4216142529382456
93581,1.4216249388680817
93683,1.4216356131633114
93893,1.4216462635845355
93911,1.4216569119643845
93941,1.42166755694368
94079,1.421678186308363
94151,1.4216888075444625
94229,1.4216994199886144
94343,1.421710019609148
94421,1.4217206104734683
94463,1.4217311966288944
95261,1.4217416941042516
95393,1.4217521770537342
95549,1.4217626428880181
95561,1.4217731074080628
95723,1.4217835542181294
95789,1.4217939938301933
95813,1.4218044308272606
95873,1.4218148612925636
95891,1.4218252897999313
96269,1.4218356773597896
96293,1.4218460623306597
96443,1.4218564311495476
96461,1.4218667980335733
96581,1.4218771520369486
96731,1.4218874899844525
96779,1.421897822804589
96851,1.421908147943204
96989,1.4219184583907807
97001,1.4219287675628511
97241,1.4219390512909083
97511,1.4219493065441617
97523,1.421959560535528
97829,1.4219697824533641
97871,1.4219799999846043
97931,1.4219902112558054
97943,1.4220004212759192
98123,1.4220106125664422
98321,1.4220207833336231
98369,1.4220309491378909
98453,1.4220411062687046
98459,1.4220512627805522
98561,1.4220614087815058
98573,1.4220715535473138
98621,1.4220816933755451
98639,1.422091831353424
98669,1.4221019662488827
98711,1.4221120968321004
98849,1.4221222132723275
98963,1.422132318058965
98981,1.4221424210080158
99023,1.4221525196719627
99041,1.4221626165005488
99089,1.4221727084381
99173,1.422182791827732
99251,1.4221928672929667
99551,1.422202912395477
99623,1.4222129502381438
99689,1.4222229814351666
99761,1.4222330053924244
99839,1.4222430215183872
100043,1.4222530172202354
100361,1.4222629812500878
100403,1.4222729411118449
100493,1.4222828920537016
100559,1.4222928364644456
100799,1.4223027571977862
100811,1.422312676750216
100913,1.4223225862762434
101063,1.4223324810943272
101333,1.4223423495478418
101399,1.4223522115780394
101411,1.4223620724412593
101429,1.4223719315545307
