p,p_mod_20,principal,nonprincipal
12347,7,False,True
12401,1,True,False
12409,9,True,False
12421,1,True,False
12487,7,False,True
12503,3,False,True
12527,7,False,True
12541,1,True,False
12547,7,False,True
12569,9,True,False
12583,3,False,True
12589,9,True,False
12601,1,True,False
12641,1,True,False
12647,7,False,True
12689,9,True,False
12703,3,False,True
12721,1,True,False
12743,3,False,True
12763,3,False,True
12781,1,True,False
12809,9,True,False
12821,1,True,False
12823,3,False,True
12829,9,True,False
12841,1,True,False
12889,9,True,False
12907,7,False,True
12923,3,False,True
12941,1,True,False
12967,7,False,True
12983,3,False,True
13001,1,True,False
13003,3,False,True
13007,7,False,True
13009,9,True,False
13043,3,False,True
13049,9,True,False
13063,3,False,True
13103,3,False,True
13109,9,True,False
13121,1,True,False
13127,7,False,True
13147,7,False,True
13163,3,False,True
13183,3,False,True
13187,7,False,True
13229,9,True,False
13241,1,True,False
13249,9,True,False
13267,7,False,True
13309,9,True,False
13327,7,False,True
13367,7,False,True
13381,1,True,False
13421,1,True,False
13441,1,True,False
13463,3,False,True
13469,9,True,False
13487,7,False,True
13523,3,False,True
13567,7,False,True
13627,7,False,True
13649,9,True,False
13669,9,True,False
13681,1,True,False
13687,7,False,True
13709,9,True,False
13721,1,True,False
13723,3,False,True
13729,9,True,False
13763,3,False,True
13781,1,True,False
13789,9,True,False
13807,7,False,True
13829,9,True,False
13841,1,True,False
13883,3,False,True
13901,1,True,False
13903,3,False,True
13907,7,False,True
13921,1,True,False
13963,3,False,True
13967,7,False,True
14009,9,True,False
14029,9,True,False
14081,1,True,False
14083,3,False,True
14087,7,False,True
14107,7,False,True
14143,3,False,True
14149,9,True,False
14207,7,False,True
14221,1,True,False
14243,3,False,True
14249,9,True,False
14281,1,True,False
14303,3,False,True
14321,1,True,False
14323,3,False,True
14327,7,False,True
14341,1,True,False
14347,7,False,True
14369,9,True,False
14387,7,False,True
14389,9,True,False
14401,1,True,False
14407,7,False,True
14423,3,False,True
14447,7,False,True
14449,9,True,False
14461,1,True,False
14489,9,True,False
14503,3,False,True
14543,3,False,True
14549,9,True,False
14561,1,True,False
14563,3,False,True
14621,1,True,False
14627,7,False,True
14629,9,True,False
14669,9,True,False
14683,3,False,True
14723,3,False,True
14741,1,True,False
14747,7,False,True
14767,7,False,True
14783,3,False,True
14821,1,True,False
14827,7,False,True
14843,3,False,True
14867,7,False,True
14869,9,True,False
14887,7,False,True
14923,3,False,True
14929,9,True,False
14947,7,False,True
14969,9,True,False
14983,3,False,True
15061,1,True,False
15083,3,False,True
15101,1,True,False
15107,7,False,True
15121,1,True,False
15149,9,True,False
15161,1,True,False
15187,7,False,True
15227,7,False,True
15241,1,True,False
15263,3,False,True
15269,9,True,False
15287,7,False,True
15289,9,True,False
15307,7,False,True
15329,9,True,False
15349,9,True,False
15361,1,True,False
15383,3,False,True
15401,1,True,False
15427,7,False,True
15443,3,False,True
15461,1,True,False
15467,7,False,True
15527,7,False,True
15541,1,True,False
15569,9,True,False
15581,1,True,False
15583,3,False,True
15601,1,True,False
15607,7,False,True
15629,9,True,False
15641,1,True,False
15643,3,False,True
15647,7,False,True
15649,9,True,False
15661,1,True,False
15667,7,False,True
15683,3,False,True
15727,7,False,True
15749,9,True,False
15761,1,True,False
15767,7,False,True
15787,7,False,True
15803,3,False,True
15809,9,True,False
15823,3,False,True
15881,1,True,False
15887,7,False,True
15889,9,True,False
15901,1,True,False
15907,7,False,True
15923,3,False,True
16001,1,True,False
16007,7,False,True
16061,1,True,False
16063,3,False,True
16067,7,False,True
16069,9,True,False
16087,7,False,True
16103,3,False,True
16127,7,False,True
16141,1,True,False
16183,3,False,True
16187,7,False,True
16189,9,True,False
16223,3,False,True
